ID,Putative_Species,S1_Angle_deg,S1_Length_cm,S1_Width_cm,S1_MP_Width_cm,S1_Length_to_Caudate_Appendage_cm,S1_Inner_Outer_Ratio,S1_Tip_Shape,S2_Angle_deg,Sepal_2_Length_cm,S2_Width_cm,S2_MP_Width_cm,S2_Length_to_Caudate_Appendage_cm,S2_Inner_Outer_Ratio,S2_Tip_Shape,S3_Angle_deg,S3_Length_cm,S3_Width_cm,S3_MP_Width_cm,S3_Length_to_Caudate_Appendage_cm,S3_Inner_Outer_Ratio,S3_Tip_Shape,Overall_Sepal_Orientation,Calyx_Ad_Pub,Calyx_Ab_Pub,Tube_Color,Rudimentary_Petals,Style_Tube_Shape,Pedicle_Width_mm,Pedicle_Length_cm,Tube_Length,Stamen_Length_cm,Dist_to_Gyn_Center_cm,Gyn_Height_cm,Gyn_Width_mm,Avg_Leaf_Length_cm,Avg_Leaf_Width_cm,Adaxial_Leaf_Pubescence,Abaxial_Leaf_Pubescence,Leaf_Shape
Pop5_Ind1,reflexum,153,1.05,0.97,0.69,0.72,1.00,Abrupt,226,0.91,0.89,0.63,0.62,1.00,Abrupt,225,1.05,0.92,0.68,0.67,1.00,Abrupt,Reflexed,Sparse,Entire,At Tube,Zero,Flat,1.75,2.31,1.61,0.48,0.61,0.51,0.3,10.87,13.02,Even,Entire,Reniform
Pop5_Ind2,reflexum,190,0.94,0.85,0.63,0.7,1.00,Abrupt,220,0.94,0.82,0.55,0.71,1.00,Abrupt,211,0.97,0.81,0.61,0.78,1.00,Abrupt,Reflexed,Sparse,To Lobes,At Tube,Zero,Fluted,1.4,3.37,1.22,0.41,0.47,0.33,0.19,7.86,9.76,Even,Entire,Chordate
Pop5_Ind3,reflexum,244,0.95,0.88,0.59,0.71,1.00,Abrupt,258,0.98,0.88,0.64,0.78,1.00,Abrupt,233,0.96,0.79,0.55,0.79,1.00,Abrupt,Reflexed,Prominent,To Lobes,At Tube,One,Flat,1.62,3.51,1.19,0.46,0.4,0.34,0.29,7.14,10.64,Even,Entire,Chordate
Pop6_Ind1,acuminatum,137,1.52,0.71,0.31,0.74,0.94,Tapering,118,1.5,0.75,0.22,0.79,0.63,Tapering,230,1.28,0.72,0.31,0.8,1.00,Tapering,Incurved,Prominent,Entire,At Tube,Zero,Fluted,1.44,2.75,1.38,0.43,0.43,0.35,0.32,7.78,9.29,Even,Entire,Chordate
Pop6_Ind2,acuminatum,190,2.06,0.93,0.17,1.22,0.00,Tapering,189,2.1,0.89,0.12,1.08,0.00,Tapering,196,2.14,0.88,0.22,1.3,0.15,Tapering,Flat,Prominent,To Lobes,At Tube,Three,Flat,2.05,3.63,1.47,0.42,0.53,0.46,0.3,9.26,11.11,Even,Entire,
Pop6_Ind3,acuminatum,110,2.55,0.96,0.2,1.3,0.00,Tapering,90,2.45,0.91,0.2,1.31,0.42,Tapering,117,2.51,0.91,0.19,1.39,0.20,Tapering,Incurved,Tapering,To Tube,At Tube,Three,Fluted,1.95,2.96,1.72,0.64,0.59,0.48,0.3,8.57,9.53,Even,Entire,Reniform-Chordate
Pop6_Ind4,acuminatum,166,1.34,0.72,0.3,0.83,1.00,Tapering,237,1.28,0.58,0.28,0.9,1.00,Tapering,137,1.4,0.69,0.29,0.77,1.00,Tapering,Intermediate,Tapering,To Tube,At Tube,Zero,Flat,1.46,2.48,1.41,0.36,0.49,0.38,0.28,6.35,10.4,Even,Entire,Reniform
Pop7_Ind1,reflexum,222,1.15,0.93,0.7,0.62,1.00,Abrupt,236,1.09,0.85,0.79,0.84,1.00,Abrupt,230,1.13,0.92,0.86,0.88,1.00,Abrupt,Reflexed,Tapering,To Tube,At Tube,Two,Flat,2.12,2.17,1.52,0.51,0.53,0.4,0.29,10,11.75,Even,Entire,Reniform-Chordate
Pop7_Ind2,reflexum,232,0.86,0.91,0.77,0.72,1.00,Abrupt,253,1.08,1.02,0.7,0.81,1.00,Abrupt,231,1.05,0.92,0.71,0.8,1.00,Abrupt,Reflexed,Tapering,To Tube,At Tube,Zero,Flat,2.17,2.98,1.47,0.55,0.41,0.38,0.27,6.91,9.6,Even,Entire,Reniform
Pop8_Ind1,reflexum,223,0.89,0.81,0.72,0.73,1.00,Abrupt,180,1.03,0.91,0.71,0.78,1.00,Abrupt,221,0.95,0.9,0.72,0.79,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Flat,1.68,2.51,1.46,0.47,0.38,0.37,0.29,7.46,8.57,Even,Entire,Chordate
Pop8_Ind2,reflexum,205,0.9,0.79,0.71,0.68,1.00,Abrupt,228,0.91,0.83,0.66,0.69,1.00,Abrupt,230,0.95,0.86,0.65,0.7,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.7,1.95,1.44,0.44,0.47,0.34,0.26,7.14,9.05,Even,Entire,Chordate
