"ID","Putative_Species","Avg_Sep_Angle","Avg_Sep_Length","Avg_Sep_MP_Width","Avg_Length_Tapering","Avg_In_Out_Ratio","Avg_Sep_Width","Pedicle_Width_mm","Pedicle_Length_cm","Tube_Length","Stamen_Length_cm","Dist_to_Gyn_Center_cm","Gyn_Height_cm","Gyn_Width_mm","Sepal_Tip_Shape","Overall_Sepal_Orientation","Calyx_Ab_Pub","Tube_Color","Rudimentary_Petals","Adaxial_Leaf_Pubescence","Leaf_Shape"
"Pop10_Ind1","reflexum",220.333333333333,2.0725,0.6,0.71,1,1.08645430395308,1.53,2.41,1.55,0.28,0.48979797979798,0.469292929292929,0.296414141414141,"Abrupt","Reflexed","To Tube","At Tube","Zero","Even","Reniform"
"Pop10_Ind2","reflexum",242.333333333333,1.67,0.623333333333333,0.666666666666667,1,1.08645430395308,1.46,1.82,1.42,0.41,0.4,0.38,0.19,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform"
"Pop10_Ind3","reflexum",239.333333333333,2.005,0.58,0.863333333333333,1,1.08645430395308,1.8,1.88,1.49,0.42,0.55,0.42,0.22,"Abrupt","Reflexed","Sparse","At Tube","Zero","Even","Reniform-Chordate"
"Pop11_Ind1","reflexum",226.333333333333,3.8125,0.653333333333333,0.756666666666667,1,1.08645430395308,1.94,1.87,1.74,0.41,0.52,0.43,0.28,"Abrupt","Reflexed","To Tube","At Tube","Zero","Margins","Reniform"
"Pop11_Ind2","reflexum",236,2.7075,0.483333333333333,0.606666666666667,1,1.08645430395308,1.83,2.44,1.37,0.41,0.52,0.36,0.25,"Abrupt","Reflexed","To Tube","At Tube","Zero","Margins","Reniform-Chordate"
"Pop11_Ind3","reflexum",243.333333333333,2.98,0.633333333333333,0.8,1,1.08645430395308,1.67,3.85,1.78,0.39,0.5,0.44,0.27,"Abrupt","Reflexed","To Tube","At Tube","Zero","Margins","Reniform"
"Pop12_Ind1","reflexum",229,2.52,0.48,0.596666666666667,1,1.08645430395308,1.28,2.66,1.42,0.48,0.38,0.4,0.24,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform"
"Pop12_Ind2","reflexum",222.666666666667,2.0675,0.51,0.666666666666667,1,1.08645430395308,1.53,1.9,1.24,0.4,0.41,0.39,0.23,"Abrupt","Reflexed","To Lobes","At Tube","Zero","Even","Chordate"
"Pop12_Ind3","reflexum",232.333333333333,2.3125,0.523333333333333,0.6,1,1.08645430395308,1.59,3.11,1.43,0.4,0.42,0.36,0.2,"Abrupt","Reflexed","To Lobes","At Tube","Zero","Margins","Chordate"
"Pop13_Ind1","acuminatum",92.3333333333333,5.355,0.223333333333333,1.82,1.08333333333333,1.08645430395308,1.68,2.79,2.19,0.75,0.68,0.55,0.3,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop13_Ind2","acuminatum",113.666666666667,4.515,0.233333333333333,1.32333333333333,0.276666666666667,1.08645430395308,2.51,3.65,2.03,0.82,0.61,0.53,0.31,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop13_Ind3","acuminatum",95,6.1,0.22,1.81,0.136666666666667,1.08645430395308,2.85,3.08,2.52,0.81,0.63,0.72,0.4,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop14_Ind1","canadense",157.333333333333,3.1775,0.33,0.686666666666667,0.743333333333333,1.08645430395308,1.93,2.6,1.63,0.47,0.49,0.4,0.28,"Intermediate","Slight Incurve","To Lobes","At Tube","Zero","Even","Reniform-Chordate"
"Pop14_Ind2","canadense",190,2.535,0.486666666666667,0.506666666666667,0.806666666666667,1.08645430395308,1.76,3.91,1.41,0.42,0.39,0.3,0.24,"Intermediate","Flat","To Lobes","At Tube","Zero","Even","Chordate"
