Raw_Sequence_Names,Sample_Numb_Names,New_Analysis_Names,Notes
ACR_MWoodsP_BL0102_IN_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample74,A_Refl_29_MWoodsP_IN,
ACR_None_Alf_MS_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample75,A_Refl_30_None_MS,
ACR_None_Cole_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample76,A_Refl_31_None_OH,
ACR_NWhipNP_BL0085_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample77,A_Refl_32_NWhipNP_OH,
ACR_OCLC_BL0063_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample78,A_Refl_33_OCLC_OH,
ACR_POaksMP_BL0098_OH_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample79,A_Refl_34_POaksMP_OH,
ACR_PRPark_BL0101_IN_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample80,A_Refl_35_PRPark_IN,
ACR_RAPark_BL0110_IL_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample81,A_Refl_36_RAPark_IL,
ACR_RBPark_Rbreeder2_MO_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample82,A_Refl_37_RBPark_MO,
ACR_RivRd_Bverser_AR_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample83,A_Refl_38_RivRd_AR,
ACR_SR_StP_BL0107_IL_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample84,A_Refl_39_SRStP_IL,
ACR_SugCrk_BL0087_OH_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample85,A_Refl_40_SugCrk_OH,
ACR_Sumter_BL0066_SC_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample86,A_Refl_41_Sumter_SC,
ACR_TPLTrail_BL0111_IL_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample87,A_Refl_42_TPLTrail_IL,
ACR_TRSPark_BL0104_IN_CKDL240034337-1A_22GKJHLT4_L4_1.fq.gz,sample88,A_Refl_43_TRSPark_IN,
ACR_TurtVConsP_Jrose_WI_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample89,A_Refl_44_TurtVConsP_WI,
ACR_Wash_Kees_MI_CKDL240034336-1A_22GKFHLT4_L4_1.fq.gz,sample90,A_Refl_45_Wash_MI,
